fold,baseline_name,horizon,horizon_days,evaluation_type,segment_type,segment_value,mae,rmse,wape,bias,aggregate_bias,actual_sum,forecast_sum,observations,rmsse,rmsse_defined_series,rmsse_undefined_series
combined,mean_28,days_1_7_aggregate,7,aggregate,overall,all,4.426111092567444,8.152530243544,0.30722659133971153,0.6688888714048598,601.9999842643738,12966.0,13567.999984264374,900,0.6680297588530447,900,0
combined,seasonal_naive_7,days_1_7_aggregate,7,aggregate,overall,all,4.702222222222222,8.88856943870422,0.32639210242171834,0.5466666666666666,492.0,12966.0,13458.0,900,0.7120176530120235,900,0
combined,zero,days_1_7_aggregate,7,aggregate,overall,all,14.406666666666666,29.443467489033587,1.0,-14.406666666666666,-12966.0,12966.0,0.0,900,1.7124631324453974,900,0
combined,croston_sba,days_1_7_aggregate,7,aggregate,store_id,CA_1,6.524002083539963,12.003593762997808,0.38226574708241967,-0.011510669787724814,-3.453200936317444,5120.0,5116.546799063683,300,0.8216005659429192,300,0
combined,last_value,days_1_7_aggregate,7,aggregate,store_id,CA_1,10.243333333333334,18.728498783048966,0.6001953125,0.41,123.0,5120.0,5243.0,300,1.4192844263620126,300,0
combined,mean_28,days_1_7_aggregate,7,aggregate,store_id,CA_1,4.719999993642171,8.63717737418826,0.276562499627471,-0.21833335558573405,-65.50000667572021,5120.0,5054.49999332428,300,0.6586331305835831,300,0
combined,seasonal_naive_7,days_1_7_aggregate,7,aggregate,store_id,CA_1,5.253333333333333,9.96259671638541,0.3078125,-0.14666666666666667,-44.0,5120.0,5076.0,300,0.7142354252822025,300,0
combined,zero,days_1_7_aggregate,7,aggregate,store_id,CA_1,17.066666666666666,36.060412273479805,1.0,-17.066666666666666,-5120.0,5120.0,0.0,300,1.8326175885560054,300,0
combined,croston_sba,days_1_7_aggregate,7,aggregate,store_id,TX_2,5.592994402647019,11.24062365275266,0.38840238907270963,0.5236395597457886,157.09186792373657,4320.0,4477.091867923737,300,0.7605984719740452,300,0
combined,last_value,days_1_7_aggregate,7,aggregate,store_id,TX_2,8.143333333333333,14.043385156957942,0.5655092592592592,0.6966666666666667,209.0,4320.0,4529.0,300,1.2836964079875388,300,0
combined,mean_28,days_1_7_aggregate,7,aggregate,store_id,TX_2,4.039166668256124,6.880119294065216,0.2804976852955642,0.5141666491826375,154.24999475479126,4320.0,4474.249994754791,300,0.6325015976588838,300,0
combined,seasonal_naive_7,days_1_7_aggregate,7,aggregate,store_id,TX_2,4.42,8.038241930505285,0.30694444444444446,1.1666666666666667,350.0,4320.0,4670.0,300,0.6719865569974424,300,0
combined,zero,days_1_7_aggregate,7,aggregate,store_id,TX_2,14.4,28.19562613834517,1.0,-14.4,-4320.0,4320.0,0.0,300,1.7150709847207335,300,0
combined,croston_sba,days_1_7_aggregate,7,aggregate,store_id,WI_3,6.097131342838208,13.039322470913444,0.5187576298501028,1.743156292885542,522.9468878656626,3526.0,4048.9468878656626,300,0.8600459134794357,300,0
combined,last_value,days_1_7_aggregate,7,aggregate,store_id,WI_3,8.533333333333333,16.116864872962523,0.7260351673284174,-0.04,-12.0,3526.0,3514.0,300,1.4292320739524014,300,0
combined,mean_28,days_1_7_aggregate,7,aggregate,store_id,WI_3,4.5191666158040364,8.800816645172238,0.38450084649495486,1.7108333206176758,513.2499961853027,3526.0,4039.2499961853027,300,0.7129545483166669,300,0
combined,seasonal_naive_7,days_1_7_aggregate,7,aggregate,store_id,WI_3,4.433333333333334,8.552972192947509,0.3771979580260919,0.62,186.0,3526.0,3712.0,300,0.7498309767564257,300,0
combined,zero,days_1_7_aggregate,7,aggregate,store_id,WI_3,11.753333333333334,22.481251447965853,1.0,-11.753333333333334,-3526.0,3526.0,0.0,300,1.5897008240594535,300,0
