fold,model_name,horizon,horizon_days,evaluation_type,segment_type,segment_value,mae,rmse,wape,bias,aggregate_bias,actual_sum,forecast_sum,observations,rmsse,rmsse_defined_series,rmsse_undefined_series,evaluation_split
validation_fold_1,mean_28,days_1_7_daily,7,daily,intermittency_class,highly_intermittent,0.3721655337879109,0.6043938699587281,1.379201684037552,-0.0099206340632268,-1.2499998919665811,34.0,32.75000010803342,126,0.6800658388558252,18,0,validation
validation_fold_1,mean_28,days_1_7_daily,7,daily,intermittency_class,intermittent,0.7509212013600128,1.2840942713450818,0.8947146228970365,0.0972222227470151,98.00000052899122,846.0,944.0000005289912,1008,0.5893101989868752,144,0,validation
validation_fold_1,mean_28,days_1_7_daily,7,daily,intermittency_class,regular,1.909346341161254,3.0704865106190176,0.6039386265755636,0.1325051511173169,127.99997597932816,3054.0,3181.999975979328,966,0.6685450606539308,138,0,validation
validation_fold_1,mean_28,days_1_7_daily,7,daily,overall,all,1.2610714256142577,2.2694089127722585,0.6731698001499596,0.1070237983887394,224.7499766163528,3934.0,4158.749976616353,2100,0.6312035737458579,300,0,validation
validation_fold_1,mean_28,days_1_7_daily,7,daily,store_id,CA_1,1.3457653040066362,2.4839715770552724,0.62139558892127,0.057499993140144,40.249995198100805,1516.0,1556.2499951981008,700,0.6344787781047653,100,0,validation
validation_fold_1,mean_28,days_1_7_daily,7,daily,store_id,TX_2,1.207244895047375,2.02972174847776,0.6387539127234789,0.0207142630964517,14.499984167516232,1323.0,1337.4999841675162,700,0.5969776212611745,100,0,validation
validation_fold_1,mean_28,days_1_7_daily,7,daily,store_id,WI_3,1.2302040777887615,2.271731777355862,0.7864318305498933,0.2428571389296225,169.99999725073576,1095.0,1264.9999972507358,700,0.6621543218716339,100,0,validation
validation_fold_1,mean_28,days_1_30_aggregate,30,aggregate,demand_band,high,34.748919149841925,60.78803806698841,0.2442416042480902,-13.787881022751934,-1365.0002212524414,14085.0,12719.99977874756,99,1.4428663478621582,99,0,validation
validation_fold_1,mean_28,days_1_30_aggregate,30,aggregate,demand_band,low,6.882395245812156,10.522680543725748,0.3690992033236205,-1.3196248502442331,-130.64286017417908,1846.0,1715.357139825821,99,1.0396354557107816,99,0,validation
validation_fold_1,mean_28,days_1_30_aggregate,30,aggregate,demand_band,medium,9.0098040396092,13.218505673426826,0.2652236686984526,-0.7563022784158295,-77.14283239841461,3465.0,3387.8571676015854,102,0.9112885382402806,102,0,validation
validation_fold_1,mean_28,days_1_30_aggregate,30,aggregate,dept_id,FOODS_1,17.926984980371262,28.093964134709,0.2861703881222798,-4.168255130449931,-187.5714808702469,2819.0,2631.428519129753,45,1.3779188560236468,45,0,validation
