fold,model_name,horizon,horizon_days,evaluation_type,segment_type,segment_value,mae,rmse,wape,bias,aggregate_bias,actual_sum,forecast_sum,observations,rmsse,rmsse_defined_series,rmsse_undefined_series
combined,xgb_tune_04,days_1_7_aggregate,7,aggregate,overall,all,4.501419041561377,8.449745670234405,0.3124538899741816,-0.14467175989618733,-130.2045839065686,12966.0,12835.795416093431,900,0.680897982697755,900,0
combined,xgb_tune_04,days_1_7_daily,7,daily,overall,all,1.2787795812694267,2.436992533347415,0.6213413051054595,-0.020667394270883904,-130.2045839065686,12966.0,12835.795416093431,6300,0.6421133140203896,900,0
combined,xgb_tune_04,days_1_30_aggregate,30,aggregate,overall,all,19.065162308843185,36.866149803607904,0.2863449106012527,0.2791838556103822,251.265470049344,59923.0,60174.265470049344,900,1.3627461420785332,900,0
combined,xgb_tune_04,days_1_30_daily,30,daily,overall,all,1.4777836168369416,2.6555103125227753,0.6658571442450716,0.009306128520346074,251.265470049344,59923.0,60174.265470049344,27000,0.7591118714399195,900,0
validation_fold_1,xgb_tune_04,day_1_daily,1,daily,overall,all,1.2986930646002293,2.3418055189456854,0.5040205942821071,-0.14755802566806475,-44.267407700419426,773.0,728.7325922995806,300,0.5438513678194439,300,0
validation_fold_1,xgb_tune_04,days_1_7_aggregate,7,aggregate,overall,all,4.084731624871492,6.2944997521816495,0.31149453163737867,0.7441476488610109,223.24429465830326,3934.0,4157.244294658303,300,0.6603512025702338,300,0
validation_fold_1,xgb_tune_04,days_1_7_daily,7,daily,overall,all,1.2121949580382734,1.9936649854152675,0.6470791590951637,0.10630680698014441,223.24429465830326,3934.0,4157.244294658303,2100,0.6339831101671332,300,0
validation_fold_1,xgb_tune_04,days_1_30_aggregate,30,aggregate,overall,all,19.735341299821933,36.18390636543237,0.3052486280648886,1.4291720846792062,428.75162540376186,19396.0,19824.751625403762,300,1.4477280091515172,300,0
validation_fold_1,xgb_tune_04,days_1_30_daily,30,daily,overall,all,1.469777238615685,2.551324886511182,0.681996037716084,0.04763906948930687,428.75162540376186,19396.0,19824.751625403762,9000,0.767347148223045,300,0
validation_fold_2,xgb_tune_04,day_1_daily,1,daily,overall,all,1.0544789973041042,1.8750974595556302,0.5991357939227865,-0.007813656539656221,-2.3440969618968666,528.0,525.6559030381031,300,0.4446488680967744,300,0
validation_fold_2,xgb_tune_04,days_1_7_aggregate,7,aggregate,overall,all,4.633913841616983,9.851728055330252,0.32389891716800906,-0.09563606925619145,-28.690820776857436,4292.0,4263.309179223143,300,0.6965154183945391,300,0
validation_fold_2,xgb_tune_04,days_1_7_daily,7,daily,overall,all,1.2531625854184052,2.6378591935818867,0.6131503796315589,-0.01366229560802735,-28.690820776857436,4292.0,4263.309179223143,2100,0.6199443630104836,300,0
validation_fold_2,xgb_tune_04,days_1_30_aggregate,30,aggregate,overall,all,19.807960018434873,40.687535471041684,0.2889142359748377,-2.4610011700571826,-738.3003510171548,20568.0,19829.699648982845,300,1.3556690896924752,300,0
validation_fold_2,xgb_tune_04,days_1_30_daily,30,daily,overall,all,1.502287683750089,2.8377912291075647,0.657360421710949,-0.08203337233523941,-738.3003510171548,20568.0,19829.699648982845,9000,0.7600303229639483,300,0
validation_fold_3,xgb_tune_04,day_1_daily,1,daily,overall,all,1.1674866895998517,2.0657685837496462,0.6144666787367641,-0.07169343216965596,-21.508029650896788,570.0,548.4919703491032,300,0.44476992542090055,300,0
validation_fold_3,xgb_tune_04,days_1_7_aggregate,7,aggregate,overall,all,4.785611658195655,8.80439281657396,0.30288681380985155,-1.0825268592933814,-324.7580577880144,4740.0,4415.241942211986,300,0.6858273271284924,300,0
validation_fold_3,xgb_tune_04,days_1_7_daily,7,daily,overall,all,1.3709812003516015,2.6236990344812443,0.607396734332988,-0.15464669418476876,-324.7580577880144,4740.0,4415.241942211986,2100,0.6724124688835519,300,0
validation_fold_3,xgb_tune_04,days_1_30_aggregate,30,aggregate,overall,all,17.652185608272752,33.35548502805084,0.2653267038670187,1.869380652209123,560.8141956627369,19959.0,20519.814195662737,300,1.2848413273916077,300,0
validation_fold_3,xgb_tune_04,days_1_30_daily,30,daily,overall,all,1.461285928145051,2.567661839731491,0.6589294730850974,0.06231268840697077,560.8141956627369,19959.0,20519.814195662737,9000,0.7499581431327653,300,0
combined,xgb_tune_05,day_1_daily,1,daily,overall,all,1.180429951294791,2.116825587094161,0.5678177210931651,-0.05902545230799458,-53.12290707719512,1871.0,1817.8770929228049,900,0.47506931218909587,900,0
combined,xgb_tune_05,days_1_7_aggregate,7,aggregate,overall,all,4.6549344907135755,8.46476207888042,0.32310975178483864,0.4354585640622665,391.91270765603986,12966.0,13357.91270765604,900,0.690861746602807,900,0
combined,xgb_tune_05,days_1_7_daily,7,daily,overall,all,1.3184212094429133,2.4184551607568143,0.6406026237459783,0.0622083662946095,391.91270765603986,12966.0,13357.91270765604,6300,0.6469039528216453,900,0
combined,xgb_tune_05,days_1_30_aggregate,30,aggregate,overall,all,19.764180634991757,42.39792400178883,0.29684365888711484,6.568399272585262,5911.559345326736,59923.0,65834.55934532674,900,1.2842245658454812,900,0
combined,xgb_tune_05,days_1_30_daily,30,daily,overall,all,1.5244545811031627,2.757343721915882,0.6868860652801995,0.21894664241950873,5911.559345326736,59923.0,65834.55934532674,27000,0.7494683924781687,900,0
validation_fold_1,xgb_tune_05,day_1_daily,1,daily,overall,all,1.2806657043285667,2.2985969589430124,0.4970242060783571,-0.13429388481502733,-40.288165444508195,773.0,732.7118345554918,300,0.5314488299599027,300,0
validation_fold_1,xgb_tune_05,days_1_7_aggregate,7,aggregate,overall,all,4.294840861341606,7.026955562586105,0.3275170966961062,1.2019224860084554,360.5767458025366,3934.0,4294.576745802537,300,0.662569658334413,300,0
validation_fold_1,xgb_tune_05,days_1_7_daily,7,daily,overall,all,1.2619279810191975,2.0556580061623566,0.6736270361312442,0.1717032122869222,360.5767458025366,3934.0,4294.576745802537,2100,0.6393554091980728,300,0
